study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP274341	SRX8853750	GSM4704423: siZIP7-6-3; Homo sapiens; RNA-Seq	GSM4704423: siZIP7-6-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115438		Illumina HiSeq 4000	35703762	681591863	SRR12354339	17796311	907611861
SRP274341	SRX8853750	GSM4704423: siZIP7-6-3; Homo sapiens; RNA-Seq	GSM4704423: siZIP7-6-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115438		Illumina HiSeq 4000	35703762	681591863	SRR12354340	17907451	913280001
SRP274341	SRX8853749	GSM4704422: siZIP7-6-2; Homo sapiens; RNA-Seq	GSM4704422: siZIP7-6-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115437		Illumina HiSeq 4000	40595522	775150358	SRR12354337	20263033	1033414683
SRP274341	SRX8853749	GSM4704422: siZIP7-6-2; Homo sapiens; RNA-Seq	GSM4704422: siZIP7-6-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115437		Illumina HiSeq 4000	40595522	775150358	SRR12354338	20332489	1036956939
SRP274341	SRX8853748	GSM4704421: siZIP7-6-1; Homo sapiens; RNA-Seq	GSM4704421: siZIP7-6-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115436		Illumina HiSeq 4000	34845863	666891932	SRR12354335	17427114	888782814
SRP274341	SRX8853748	GSM4704421: siZIP7-6-1; Homo sapiens; RNA-Seq	GSM4704421: siZIP7-6-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115436		Illumina HiSeq 4000	34845863	666891932	SRR12354336	17418749	888356199
SRP274341	SRX8853747	GSM4704420: siZIP7-3-3; Homo sapiens; RNA-Seq	GSM4704420: siZIP7-3-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115435		Illumina HiSeq 4000	40045650	766116292	SRR12354333	19949906	1017445206
SRP274341	SRX8853747	GSM4704420: siZIP7-3-3; Homo sapiens; RNA-Seq	GSM4704420: siZIP7-3-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115435		Illumina HiSeq 4000	40045650	766116292	SRR12354334	20095744	1024882944
SRP274341	SRX8853746	GSM4704419: siZIP7-3-2; Homo sapiens; RNA-Seq	GSM4704419: siZIP7-3-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115434		Illumina HiSeq 4000	36763473	703119960	SRR12354331	18372645	937004895
SRP274341	SRX8853746	GSM4704419: siZIP7-3-2; Homo sapiens; RNA-Seq	GSM4704419: siZIP7-3-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115434		Illumina HiSeq 4000	36763473	703119960	SRR12354332	18390828	937932228
SRP274341	SRX8853745	GSM4704418: siZIP7-3-1; Homo sapiens; RNA-Seq	GSM4704418: siZIP7-3-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115433		Illumina HiSeq 4000	34130187	656153632	SRR12354329	17101056	872153856
SRP274341	SRX8853745	GSM4704418: siZIP7-3-1; Homo sapiens; RNA-Seq	GSM4704418: siZIP7-3-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115433		Illumina HiSeq 4000	34130187	656153632	SRR12354330	17029131	868485681
SRP274341	SRX8853744	GSM4704417: siNC-3; Homo sapiens; RNA-Seq	GSM4704417: siNC-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115432		Illumina HiSeq 4000	37282128	719045195	SRR12354327	18623529	949799979
SRP274341	SRX8853744	GSM4704417: siNC-3; Homo sapiens; RNA-Seq	GSM4704417: siNC-3; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115432		Illumina HiSeq 4000	37282128	719045195	SRR12354328	18658599	951588549
SRP274341	SRX8853743	GSM4704416: siNC-2; Homo sapiens; RNA-Seq	GSM4704416: siNC-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115431		Illumina HiSeq 4000	31186505	594516844	SRR12354325	15507518	790883418
SRP274341	SRX8853743	GSM4704416: siNC-2; Homo sapiens; RNA-Seq	GSM4704416: siNC-2; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115431		Illumina HiSeq 4000	31186505	594516844	SRR12354326	15678987	799628337
SRP274341	SRX8853742	GSM4704415: siNC-1; Homo sapiens; RNA-Seq	GSM4704415: siNC-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115430		Illumina HiSeq 4000	36511922	694753376	SRR12354323	18188682	927622782
SRP274341	SRX8853742	GSM4704415: siNC-1; Homo sapiens; RNA-Seq	GSM4704415: siNC-1; Homo sapiens; RNA-Seq	9606	Homo sapiens	RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	SRS7115430		Illumina HiSeq 4000	36511922	694753376	SRR12354324	18323240	934485240
